category,filename,duration_sec,sample_rate,spectrogram_exists
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_152801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_152801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_152801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_155001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_155001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_155001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_165601_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_165601_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_165601_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_171801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_171801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_171801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_174001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_174001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_174001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_231001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_231001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_231001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_090401_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_090401_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_090401_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_094801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_094801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_094801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_151801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_160201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_160201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_160201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_162401_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_162401_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_162401_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_164601_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_164601_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_164601_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_170801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_170801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_170801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_173001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_173001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161002_173001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_064201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_064201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_064201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_074801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_074801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_074801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_081001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_081001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_081001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_083201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_083201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_083201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_085401_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_085401_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_085401_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_100001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_100001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_100001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_102201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_102201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161003_102201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161005_153201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161005_161601_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161005_161601_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161005_161601_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_013201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_013201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_013201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_051201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_051201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_051201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_080801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_080801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_080801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_085201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_085201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_085201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_091401_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_091401_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_091401_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_095801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_095801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_095801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_102001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_102001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_102001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_104201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_104201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_104201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_133801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_133801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_133801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_142201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_142201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_142201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_144401_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_144401_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_144401_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_150601_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_150601_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_150601_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_152801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_152801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_152801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_155001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_155001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_155001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_171801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_171801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_171801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_174001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_174001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161001_174001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_041801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_041801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_041801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_084201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_084201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_084201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_090401_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_090401_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_090401_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_101001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_101001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_101001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_162401_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_162401_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_162401_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_164601_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_164601_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_164601_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_170801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_170801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_170801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_173001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_173001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_173001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_175201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_175201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_175201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_185801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_185801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_185801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_192001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_192001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_192001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_194201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_194201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_194201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_200401_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_200401_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_200401_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_202601_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_202601_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_202601_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_223801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_223801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_223801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_230001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_230001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_230001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_232201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_232201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161002_232201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_064201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_064201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_064201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_070401_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_070401_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_070401_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_072601_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_072601_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_072601_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_074801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_074801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_074801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_081001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_081001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_081001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_083201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_083201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_083201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_085401_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_085401_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_085401_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_100001_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_100001_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_100001_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_102201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_102201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_102201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161003_104401_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161005_161601_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161005_161601_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301602__0__20161005_161601_3.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161003_015601_1.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161003_015601_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161003_015601_3.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161003_051401_1.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161003_051401_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161003_051401_3.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161003_110601_1.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161003_110601_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161003_110601_3.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161003_123401_1.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161003_123401_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161003_123401_3.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161004_124601_1.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161004_124601_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161004_124601_3.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161005_075001_1.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161005_075001_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161005_075001_3.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161005_225201_1.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161005_225201_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161005_231401_1.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161005_231401_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161005_231401_3.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161005_233601_1.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161005_233601_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM301165__0__20161005_233601_3.wav,60.0,96000,False
1 Pulses HAMMERING,SM301602__0__20161003_015601_1.wav,60.0,96000,False
1 Pulses HAMMERING,SM301602__0__20161003_015601_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM301602__0__20161003_015601_3.wav,60.0,96000,False
1 Pulses HAMMERING,SM301602__0__20161003_030201_1.wav,60.0,96000,False
1 Pulses HAMMERING,SM301602__0__20161003_030201_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM301602__0__20161003_030201_3.wav,60.0,96000,False
1 Pulses HAMMERING,SM301602__0__20161003_051401_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM301602__0__20161003_110601_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM301602__0__20161003_110601_3.wav,60.0,96000,False
1 Pulses HAMMERING,SM301602__0__20161003_123401_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM301602__0__20161003_123401_3.wav,60.0,96000,False
1 Pulses HAMMERING,SM681216-0-_20161003_015801_1.wav,60.0,96000,False
1 Pulses HAMMERING,SM681216-0-_20161003_015801_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM681216-0-_20161003_015801_3.wav,60.0,96000,False
1 Pulses HAMMERING,SM681216-0-_20161003_051601_1.wav,60.0,96000,False
1 Pulses HAMMERING,SM681216-0-_20161003_051601_2.wav,60.0,96000,False
1 Pulses HAMMERING,SM681216-0-_20161003_051601_3.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_131801_1.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_131801_2.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_131801_3.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_134001_1.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_134001_2.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_134001_3.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_140201_1.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_140201_2.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_140201_3.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_142401_1.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_142401_2.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_142401_3.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_144601_1.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_144601_2.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_144601_3.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_153001_1.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_153001_2.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_153001_3.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_155201_1.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_155201_2.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_155201_3.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_161401_1.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_161401_2.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_161401_3.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_163601_1.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_163601_2.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_163601_3.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_165801_1.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_165801_2.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_165801_3.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_172001_1.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_172001_2.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_172001_3.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_193201_1.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_193201_2.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_193201_3.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_195401_1.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_195401_2.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_195401_3.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_201601_1.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_201601_2.wav,60.0,96000,False
2 Marked cycles 3 segundos,SM301165__0__20161003_201601_3.wav,60.0,96000,False
