true,predicted,confidence
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.227
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.194
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.835
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.349
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.278
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.737
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.21
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.178
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.525
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.184
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.422
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.398
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,1.0
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.191
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.339
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.461
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.193
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.205
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.317
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.721
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.256
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.696
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.171
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.282
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.183
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.717
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.592
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.171
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.314
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.47
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.21
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.309
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.163
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.217
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.239
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.473
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.428
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.177
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.237
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.282
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.228
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.154
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.233
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.294
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.199
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.171
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.4
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.192
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.175
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.162
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.253
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.314
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.287
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.217
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.219
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.306
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.221
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.267
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.216
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.167
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.211
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.262
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.236
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.197
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.512
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.263
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.412
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.205
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.707
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.51
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.178
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.208
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.254
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.93
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.38
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.205
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.239
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.218
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.224
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.681
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.589
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.532
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.682
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.72
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.582
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.239
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.664
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.558
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.46
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.514
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.594
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.233
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.206
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.225
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.217
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.166
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.53
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.221
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.881
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.164
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.496
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.42
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.428
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.311
4 Continuous activity & tone 3.15kHz_ SP,0 ActividadBASE_NO pattern activity,0.42
4 Continuous activity & tone 3.15kHz_ SP,0 ActividadBASE_NO pattern activity,0.224
4 Continuous activity & tone 3.15kHz_ SP,5 Blasts,0.184
4 Continuous activity & tone 3.15kHz_ SP,0 ActividadBASE_NO pattern activity,0.33
4 Continuous activity & tone 3.15kHz_ SP,5 Blasts,0.206
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.299
4 Continuous activity & tone 3.15kHz_ SP,5 Blasts,0.173
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.728
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.361
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.214
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.291
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.21
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.167
4 Continuous activity & tone 3.15kHz_ SP,1 Pulses HAMMERING,0.422
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.318
4 Continuous activity & tone 3.15kHz_ SP,0 ActividadBASE_NO pattern activity,0.494
4 Continuous activity & tone 3.15kHz_ SP,5 Blasts,0.164
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.285
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.212
4 Continuous activity & tone 3.15kHz_ SP,1 Pulses HAMMERING,0.175
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.67
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.237
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.802
4 Continuous activity & tone 3.15kHz_ SP,1 Pulses HAMMERING,0.154
4 Continuous activity & tone 3.15kHz_ SP,0 ActividadBASE_NO pattern activity,0.539
4 Continuous activity & tone 3.15kHz_ SP,5 Blasts,0.3
4 Continuous activity & tone 3.15kHz_ SP,5 Blasts,0.214
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.986
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.149
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.491
4 Continuous activity & tone 3.15kHz_ SP,7 Works_ sirens and knocks en altas frec,0.191
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.404
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.276
4 Continuous activity & tone 3.15kHz_ SP,0 ActividadBASE_NO pattern activity,0.482
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.234
4 Continuous activity & tone 3.15kHz_ SP,0 ActividadBASE_NO pattern activity,0.256
5 Blasts,6 Machinery continuous activity,0.227
5 Blasts,0 ActividadBASE_NO pattern activity,0.305
5 Blasts,2 Marked cycles 3 segundos,0.206
5 Blasts,3 Continuous activity & tone 3.15kHz_SPL,0.191
5 Blasts,6 Machinery continuous activity,0.608
5 Blasts,2 Marked cycles 3 segundos,0.977
5 Blasts,3 Continuous activity & tone 3.15kHz_SPL,0.213
5 Blasts,2 Marked cycles 3 segundos,0.536
5 Blasts,6 Machinery continuous activity,0.307
5 Blasts,6 Machinery continuous activity,0.411
5 Blasts,6 Machinery continuous activity,0.355
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.643
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.631
6 Machinery continuous activity,1 Pulses HAMMERING,0.568
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.889
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.241
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.42
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.169
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.379
6 Machinery continuous activity,1 Pulses HAMMERING,0.256
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.175
6 Machinery continuous activity,5 Blasts,0.169
6 Machinery continuous activity,5 Blasts,0.497
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.201
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.327
6 Machinery continuous activity,4 Continuous activity & tone 3.15kHz_ SP,0.191
6 Machinery continuous activity,4 Continuous activity & tone 3.15kHz_ SP,0.235
6 Machinery continuous activity,7 Works_ sirens and knocks en altas frec,0.275
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.843
6 Machinery continuous activity,1 Pulses HAMMERING,0.165
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.272
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.251
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.666
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.201
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.602
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.59
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.373
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.271
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.227
6 Machinery continuous activity,1 Pulses HAMMERING,0.195
6 Machinery continuous activity,5 Blasts,0.311
6 Machinery continuous activity,1 Pulses HAMMERING,0.714
6 Machinery continuous activity,4 Continuous activity & tone 3.15kHz_ SP,0.195
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.228
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.226
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.207
6 Machinery continuous activity,1 Pulses HAMMERING,0.193
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.287
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.232
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.706
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.18
6 Machinery continuous activity,1 Pulses HAMMERING,0.355
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.195
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.343
6 Machinery continuous activity,2 Marked cycles 3 segundos,1.0
6 Machinery continuous activity,7 Works_ sirens and knocks en altas frec,0.841
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.459
6 Machinery continuous activity,1 Pulses HAMMERING,0.56
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.182
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.276
6 Machinery continuous activity,7 Works_ sirens and knocks en altas frec,0.294
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.218
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.18
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.188
6 Machinery continuous activity,4 Continuous activity & tone 3.15kHz_ SP,0.235
6 Machinery continuous activity,1 Pulses HAMMERING,0.174
7 Works_ sirens and knocks en altas frec,4 Continuous activity & tone 3.15kHz_ SP,0.211
7 Works_ sirens and knocks en altas frec,2 Marked cycles 3 segundos,0.449
7 Works_ sirens and knocks en altas frec,2 Marked cycles 3 segundos,1.0
7 Works_ sirens and knocks en altas frec,2 Marked cycles 3 segundos,0.316
7 Works_ sirens and knocks en altas frec,6 Machinery continuous activity,0.529
7 Works_ sirens and knocks en altas frec,2 Marked cycles 3 segundos,0.186
