true,predicted,confidence
3 Continuous activity & tone 3.15kHz_SPL,5 Blasts,0.769
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.939
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.817
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.802
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.925
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.741
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.462
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.74
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.709
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.521
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.641
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.824
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.415
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.445
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.429
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.445
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.32
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.591
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.63
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.522
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.734
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.436
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.461
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.623
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.521
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.771
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.697
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.752
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.703
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.45
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.622
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.5
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.663
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.461
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.553
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.465
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.666
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.844
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.759
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.432
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.33
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.433
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.511
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.402
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.958
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.761
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.477
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.721
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.653
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.838
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.515
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.697
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.599
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.822
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.915
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.981
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.65
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.714
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.782
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.767
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.398
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.589
4 Continuous activity & tone 3.15kHz_ SP,0 ActividadBASE_NO pattern activity,0.924
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.405
4 Continuous activity & tone 3.15kHz_ SP,0 ActividadBASE_NO pattern activity,0.427
5 Blasts,7 Works_ sirens and knocks en altas frec,0.553
5 Blasts,7 Works_ sirens and knocks en altas frec,0.941
5 Blasts,7 Works_ sirens and knocks en altas frec,0.95
6 Machinery continuous activity,4 Continuous activity & tone 3.15kHz_ SP,0.696
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.678
6 Machinery continuous activity,4 Continuous activity & tone 3.15kHz_ SP,0.326
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.452
6 Machinery continuous activity,5 Blasts,0.566
6 Machinery continuous activity,5 Blasts,0.414
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.681
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.656
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.6
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.416
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.543
6 Machinery continuous activity,5 Blasts,0.633
6 Machinery continuous activity,5 Blasts,0.597
7 Works_ sirens and knocks en altas frec,6 Machinery continuous activity,0.67
7 Works_ sirens and knocks en altas frec,5 Blasts,0.645
7 Works_ sirens and knocks en altas frec,6 Machinery continuous activity,0.324
7 Works_ sirens and knocks en altas frec,6 Machinery continuous activity,0.438
