true,predicted,confidence
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.575
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.406
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.218
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.333
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.315
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.384
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.2
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.334
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.486
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.235
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.262
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.231
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.221
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.217
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.194
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.198
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.256
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.221
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.244
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.158
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.239
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.161
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.272
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.282
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.368
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.212
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.483
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.206
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.188
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.21
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.405
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.192
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.208
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.205
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.267
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.195
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.189
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.427
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.317
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.373
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.215
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.301
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.727
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.199
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.21
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.338
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.152
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.287
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.176
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.17
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.196
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.283
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.153
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.212
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.188
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.216
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.223
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.143
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.344
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.192
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.262
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.282
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.199
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.192
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.248
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.291
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.2
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.219
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.265
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.206
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.282
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.225
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.232
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.185
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.243
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.16
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.381
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.232
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.204
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.213
4 Continuous activity & tone 3.15kHz_ SP,1 Pulses HAMMERING,0.337
4 Continuous activity & tone 3.15kHz_ SP,1 Pulses HAMMERING,0.176
4 Continuous activity & tone 3.15kHz_ SP,1 Pulses HAMMERING,0.219
4 Continuous activity & tone 3.15kHz_ SP,1 Pulses HAMMERING,0.192
4 Continuous activity & tone 3.15kHz_ SP,1 Pulses HAMMERING,0.222
4 Continuous activity & tone 3.15kHz_ SP,1 Pulses HAMMERING,0.44
4 Continuous activity & tone 3.15kHz_ SP,1 Pulses HAMMERING,0.195
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.379
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.163
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.201
4 Continuous activity & tone 3.15kHz_ SP,7 Works_ sirens and knocks en altas frec,0.214
4 Continuous activity & tone 3.15kHz_ SP,1 Pulses HAMMERING,0.328
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.235
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.416
4 Continuous activity & tone 3.15kHz_ SP,0 ActividadBASE_NO pattern activity,0.537
4 Continuous activity & tone 3.15kHz_ SP,0 ActividadBASE_NO pattern activity,0.236
4 Continuous activity & tone 3.15kHz_ SP,5 Blasts,0.199
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.165
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.172
4 Continuous activity & tone 3.15kHz_ SP,6 Machinery continuous activity,0.304
4 Continuous activity & tone 3.15kHz_ SP,7 Works_ sirens and knocks en altas frec,0.182
4 Continuous activity & tone 3.15kHz_ SP,0 ActividadBASE_NO pattern activity,0.314
4 Continuous activity & tone 3.15kHz_ SP,7 Works_ sirens and knocks en altas frec,0.195
4 Continuous activity & tone 3.15kHz_ SP,1 Pulses HAMMERING,0.192
5 Blasts,1 Pulses HAMMERING,0.44
5 Blasts,1 Pulses HAMMERING,0.606
5 Blasts,1 Pulses HAMMERING,0.643
5 Blasts,1 Pulses HAMMERING,0.602
5 Blasts,1 Pulses HAMMERING,0.679
5 Blasts,4 Continuous activity & tone 3.15kHz_ SP,0.786
5 Blasts,2 Marked cycles 3 segundos,0.187
5 Blasts,1 Pulses HAMMERING,0.283
5 Blasts,7 Works_ sirens and knocks en altas frec,0.222
6 Machinery continuous activity,4 Continuous activity & tone 3.15kHz_ SP,0.188
6 Machinery continuous activity,1 Pulses HAMMERING,0.284
6 Machinery continuous activity,4 Continuous activity & tone 3.15kHz_ SP,0.182
6 Machinery continuous activity,1 Pulses HAMMERING,0.309
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.179
6 Machinery continuous activity,1 Pulses HAMMERING,0.262
6 Machinery continuous activity,1 Pulses HAMMERING,0.279
6 Machinery continuous activity,1 Pulses HAMMERING,0.225
6 Machinery continuous activity,1 Pulses HAMMERING,0.278
6 Machinery continuous activity,1 Pulses HAMMERING,0.179
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.172
6 Machinery continuous activity,1 Pulses HAMMERING,0.324
6 Machinery continuous activity,1 Pulses HAMMERING,0.565
6 Machinery continuous activity,1 Pulses HAMMERING,0.197
6 Machinery continuous activity,4 Continuous activity & tone 3.15kHz_ SP,0.234
6 Machinery continuous activity,1 Pulses HAMMERING,0.225
6 Machinery continuous activity,4 Continuous activity & tone 3.15kHz_ SP,0.19
6 Machinery continuous activity,4 Continuous activity & tone 3.15kHz_ SP,0.16
6 Machinery continuous activity,1 Pulses HAMMERING,0.506
6 Machinery continuous activity,1 Pulses HAMMERING,0.594
6 Machinery continuous activity,1 Pulses HAMMERING,0.58
6 Machinery continuous activity,1 Pulses HAMMERING,0.465
6 Machinery continuous activity,1 Pulses HAMMERING,0.472
6 Machinery continuous activity,1 Pulses HAMMERING,0.295
6 Machinery continuous activity,1 Pulses HAMMERING,0.193
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.205
6 Machinery continuous activity,4 Continuous activity & tone 3.15kHz_ SP,0.256
6 Machinery continuous activity,4 Continuous activity & tone 3.15kHz_ SP,0.255
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.3
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.275
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.218
6 Machinery continuous activity,1 Pulses HAMMERING,0.293
6 Machinery continuous activity,1 Pulses HAMMERING,0.409
6 Machinery continuous activity,1 Pulses HAMMERING,0.293
6 Machinery continuous activity,1 Pulses HAMMERING,0.766
6 Machinery continuous activity,1 Pulses HAMMERING,0.811
6 Machinery continuous activity,1 Pulses HAMMERING,0.812
6 Machinery continuous activity,1 Pulses HAMMERING,0.83
6 Machinery continuous activity,1 Pulses HAMMERING,0.74
6 Machinery continuous activity,1 Pulses HAMMERING,0.231
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.197
6 Machinery continuous activity,1 Pulses HAMMERING,0.284
6 Machinery continuous activity,1 Pulses HAMMERING,0.196
6 Machinery continuous activity,1 Pulses HAMMERING,0.304
6 Machinery continuous activity,2 Marked cycles 3 segundos,0.174
6 Machinery continuous activity,1 Pulses HAMMERING,0.195
6 Machinery continuous activity,1 Pulses HAMMERING,0.502
6 Machinery continuous activity,1 Pulses HAMMERING,0.415
6 Machinery continuous activity,1 Pulses HAMMERING,0.549
7 Works_ sirens and knocks en altas frec,6 Machinery continuous activity,0.247
7 Works_ sirens and knocks en altas frec,5 Blasts,0.658
7 Works_ sirens and knocks en altas frec,1 Pulses HAMMERING,0.767
7 Works_ sirens and knocks en altas frec,1 Pulses HAMMERING,0.873
7 Works_ sirens and knocks en altas frec,1 Pulses HAMMERING,0.479
7 Works_ sirens and knocks en altas frec,1 Pulses HAMMERING,0.33
